x,y
-0.93041754,-0.36650133
-0.78801084,-0.6156614
-0.73432255,0.6788007
0.75470954,-0.6560591
-0.6394391,-0.76884174
0.2672383,-0.9636305
-0.9575713,-0.28819636
-0.1434925,-0.9896514
-0.09584568,-0.9953962
-0.91706014,-0.398749
-0.59832454,-0.80125386
0.45009843,-0.89297897
0.4809886,-0.87672687
0.25038,-0.96814764
-0.3947437,-0.9187913
-0.6122171,-0.79068965
-0.5555704,-0.8314695
-0.5555704,-0.8314695
-0.28819627,-0.9575714
-0.43444532,-0.9006982
0.71933997,-0.6946582
-0.9153115,-0.4027466
-0.0915018,-0.9958049
-0.32556817,-0.94551855
-0.96004987,-0.27982894
-0.66262,-0.7489558
0.40274653,-0.9153116
-0.6494479,-0.7604061
-0.5771453,-0.8166415
-0.96923095,0.24615324
-0.5075382,-0.86162925
0.16504763,-0.9862856
-0.6977904,-0.71630204
0.49621665,-0.86819875
0.6394391,-0.76884174
-0.96704596,0.25460184
-0.8141156,-0.5807029
-0.6394391,-0.76884174
-0.9935719,0.1132032
-0.9961947,-0.08715581
-0.17364813,-0.9848078
-0.03925982,-0.999229
-0.73432255,-0.6788007
-0.77988446,-0.6259235
-0.93041754,-0.36650133
-0.99939084,0.03489945
-0.38268358,-0.9238795
0.10452836,-0.9945219
0.68835455,-0.72537434
-0.7986355,-0.60181504
-0.22495118,-0.97437006
0.5224988,-0.85264003
-0.4146932,-0.9099613
-0.9988484,0.047978245
-0.8549118,-0.5187733
-0.6394391,-0.76884174
-1.0,-8.742278e-8
-0.81157404,-0.58424956
-0.9988484,-0.04797818
-0.8808908,-0.4733196
-0.9914449,0.13052608
-0.78801084,-0.6156614
-0.6658816,-0.74605745
0.27144057,-0.9624552
0.99086595,-0.13485071
0.53729975,-0.84339136
-0.28401515,-0.9588198
-0.9975641,-0.0697564
0.33380684,-0.9426415
-0.11753743,-0.99306846
-0.9896514,-0.14349261
-0.3048642,-0.95239586
-0.59482294,-0.80385673
-0.6527598,-0.75756496
-0.4924235,-0.8703557
