x,y
-0.4656144,-0.8849877
-0.12186912,-0.9925462
0.9753423,-0.22069766
-0.999762,0.021814913
-0.90069824,-0.4344452
0.81411546,-0.5807031
-0.92050487,0.39073116
-0.9753423,0.22069752
-0.9869964,-0.16074246
-0.83146954,-0.5555703
0.81915194,-0.57357657
0.59482294,-0.80385673
0.91531146,-0.40274677
0.75470954,-0.6560591
0.89493436,-0.44619787
-0.8290376,0.55919284
-0.7933534,-0.60876137
-0.6691305,-0.74314487
-0.4422887,-0.89687276
0.7771461,-0.6293202
-0.68835455,-0.7253744
-0.20364177,-0.97904545
0.944089,-0.3296907
-0.9965655,0.08280813
-0.9271838,-0.37460664
-0.29654154,-0.95501995
0.39073125,-0.9205048
0.7009092,-0.7132505
-0.8808908,-0.4733196
-0.74021816,-0.6723668
-0.46174872,-0.88701075
0.81915194,-0.57357657
-0.6755902,0.7372773
-0.9961947,0.08715564
-0.760406,-0.649448
-0.021814987,-0.999762
0.13485089,-0.9908659
0.9702958,-0.24192177
-0.99405634,0.108866885
-0.24192193,-0.9702957
0.71933997,-0.6946582
-0.46561456,0.8849876
-0.9304176,0.36650115
-0.99991435,0.013089673
0.65605885,-0.7547097
-0.9044551,0.42656878
-0.9702957,-0.2419218
0.999762,-0.021814825
-0.9890159,-0.14780937
-0.9840407,0.17794363
-0.9890159,-0.14780937
-0.6626201,0.74895567
0.8064447,-0.5913095
-0.9647873,-0.2630312
-0.9496991,0.31316382
-0.9840407,0.17794363
-0.76884186,-0.639439
-0.5075382,-0.86162925
0.9692309,-0.24615337
-0.98162717,0.19080901
-0.9153115,-0.4027466
0.7372774,-0.67559016
-0.9563047,-0.29237178
-0.7040148,-0.7101853
0.5224988,-0.85264003
0.8788172,-0.47715864
-0.841039,0.5409745
-0.78801084,-0.6156614
-0.5112931,-0.8594064
0.9636304,-0.26723856
-0.9153115,-0.4027466
-0.9426415,-0.33380693
-0.6225146,-0.78260815
-0.36243808,-0.93200785
0.59832454,-0.80125386
0.740218,-0.6723669
-0.87249607,0.48862115
0.9455186,-0.32556802
-0.99306846,-0.1175373
-0.7826081,-0.6225147
0.8064447,-0.5913095
-0.9998477,0.017452458
-0.98162717,-0.19080895
-0.29654154,-0.95501995
0.7826083,-0.6225145
-0.89687276,0.44228864
-0.9832549,0.18223558
-0.9988484,-0.04797818
-0.33380684,-0.9426415
0.30486423,-0.9523958
-0.9983917,-0.056692794
0.89493436,-0.44619787
-0.8362862,0.5482932
-0.8767267,-0.48098886
-0.62592363,-0.77988434
-0.40673664,-0.9135454
-0.34202006,-0.9396927
-0.8480481,-0.52991927
-0.50377405,-0.86383545
0.740218,-0.6723669
-0.7431448,0.6691306
-0.97904545,-0.20364186
0.8968728,-0.44228855
-1.0,-8.742278e-8
-0.9981348,-0.06104852
-0.47715878,-0.8788171
0.4999999,-0.86602545
-0.9896514,-0.14349261
-0.18652415,-0.98245037
-0.9455186,0.3255681
0.81915194,-0.57357657
-0.8265897,0.562805
-0.9753423,0.22069752
-0.999762,-0.02181485
-0.872496,-0.4886213
-0.77988446,-0.6259235
-0.84103906,-0.54097444
-0.7906896,-0.61221725
-0.6293203,-0.777146
0.8338859,-0.55193686
-0.8571673,0.515038
-0.9995336,-0.030538429
-0.5913096,-0.80644464
-0.24615307,-0.96923095
-0.078459114,-0.9969173
0.8638355,-0.5037739
-0.8594064,0.51129305
-0.95501995,-0.29654163
-0.59482294,-0.80385673
0.55557007,-0.8314697
0.81157404,-0.58424956
-0.7880108,0.61566144
-0.9713421,0.23768587
-0.69465846,0.7193397
-0.8571673,0.515038
-0.90069824,0.43444526
-0.8064446,-0.5913097
-0.53361446,-0.84572786
-0.691513,0.722364
-0.80125374,0.59832466
-0.6225146,-0.78260815
0.43444535,-0.9006982
-0.9753423,0.22069752
-0.97904545,-0.20364186
-0.8038568,0.5948229
-0.8746198,0.48480955
-0.9961947,-0.08715581
-0.7771459,-0.62932044
0.05233615,-0.9986295
-0.7986355,0.6018151
-0.8480481,-0.52991927
-0.77988446,-0.6259235
-0.5224987,-0.85264003
-0.32969087,-0.94408894
0.8746198,-0.48480946
-0.9972502,0.07410846
-0.95501995,-0.29654163
-0.7743926,-0.63270533
0.6851828,-0.72837114
0.9222009,-0.38671115
-0.8433914,0.53729963
-0.9998477,-0.017452395
0.75470954,-0.6560591
-0.9983917,0.056692857
-1.0,-8.742278e-8
-0.94408906,0.32969058
-0.9848077,-0.17364822
0.3746068,-0.92718375
0.59482294,-0.80385673
0.91354555,-0.4067365
-0.95501995,-0.29654163
-0.7771459,-0.62932044
-0.66262,-0.7489558
-0.013089748,-0.99991435
0.4186599,-0.9081431
0.90814316,-0.41865975
-0.8571673,0.515038
-0.9975641,0.06975647
-0.27982906,-0.96004987
0.66913074,-0.74314475
0.8767267,-0.48098883
-0.9063078,-0.42261827
-0.8660254,-0.49999997
-0.366501,-0.93041766
0.75183994,-0.6593457
-0.999229,-0.039259918
-0.9723699,-0.23344532
0.58424973,-0.8115739
0.716302,-0.69779044
-0.91176206,0.41071877
-0.7575649,-0.65275985
0.6527598,-0.75756496
-0.6819983,0.7313537
-0.86819875,0.49621657
-0.39874905,0.9170601
