x,y
-0.86819875,0.49621657
-0.93667215,0.35020742
-0.12186912,-0.9925462
-0.9320079,0.362438
-0.97904545,-0.20364186
-0.57357633,-0.8191521
-0.5075382,-0.86162925
-0.5555702,0.83146966
-0.6087614,0.7933533
-0.97534233,-0.22069745
-0.7906896,-0.61221725
-0.7575649,-0.65275985
0.10886698,-0.99405634
0.77162445,-0.63607836
-0.57357645,0.819152
-0.6190939,0.78531694
-0.8660254,0.50000006
-0.9135454,-0.40673673
-0.9271839,0.3746065
-0.97992474,0.1993679
-0.22920026,-0.9733793
-0.061048657,-0.9981348
0.008726498,-0.9999619
0.85035235,-0.52621377
-0.65275973,0.757565
-0.67236686,0.7402181
-0.9044551,0.42656878
0.08715574,-0.9961947
0.85035235,-0.52621377
-0.9238795,0.3826835
-0.7071068,-0.7071067
0.08715574,-0.9961947
-0.5224985,0.8526402
-0.67880076,0.7343225
-0.7660445,-0.6427876
0.10018822,-0.9949685
-0.56999683,0.8216469
-0.8038568,0.5948229
-0.72236395,-0.6915131
-0.4422887,-0.89687276
-0.5262138,0.8503523
-0.73432255,0.6788007
-0.24615324,0.96923095
-0.94693017,-0.3214394
0.33380684,-0.9426415
0.53361446,-0.84572786
0.8681988,-0.49621648
-0.96814764,0.25037992
-0.8987941,-0.43837106
-0.5842497,-0.811574
-0.46947163,-0.88294756
-0.26303136,-0.9647873
-0.19509038,-0.98078525
0.69151324,-0.7223638
-0.7040148,-0.7101853
-0.8265897,0.562805
-0.85035217,0.526214
-0.9981348,0.061048582
-0.39073116,0.92050487
-0.66588175,0.74605733
-0.9807853,0.19509031
-0.9995336,0.030538492
-0.97814757,-0.20791179
-0.9320079,-0.36243793
-0.82903755,-0.55919296
-0.7071068,-0.7071067
-0.4924235,-0.8703557
-0.36243808,-0.93200785
-0.28401515,-0.9588198
-0.24192193,-0.9702957
0.18223545,-0.9832549
-0.84804803,0.5299193
-0.8746198,0.48480955
-0.9288096,0.37055734
-0.279829,0.96004987
-0.64278764,0.76604444
-0.8808907,0.47331965
-0.7933534,-0.60876137
-0.20791192,-0.97814757
-0.279829,0.96004987
-0.64278764,0.76604444
-0.8808907,0.47331965
-0.89879405,0.43837112
-0.7933534,-0.60876137
-0.20791192,-0.97814757
0.801254,-0.5983244
-0.5842496,0.811574
-0.8870108,0.46174866
-0.9862856,0.16504754
-0.922201,-0.38671094
0.33380684,-0.9426415
0.6394391,-0.76884174
-0.7798846,0.6259234
-0.922201,0.386711
-0.9840407,0.17794363
0.68835455,-0.72537434
-0.72236395,-0.6915131
-0.28819627,-0.9575714
-0.96814764,0.25037992
-0.32143927,-0.94693017
-0.03925982,-0.999229
0.62251467,-0.78260815
-0.992005,0.12619889
0.28401518,-0.9588198
-0.9455186,0.3255681
-0.9945219,-0.104528435
-0.42261818,-0.9063078
-0.33791688,-0.94117594
-0.13485087,-0.9908659
-0.7880108,0.61566144
-0.9896514,-0.14349261
-0.87881714,-0.47715867
-0.8949344,0.44619775
-0.98245037,0.18652408
-0.9044552,-0.42656872
-0.43051097,-0.9025853
0.10886698,-0.99405634
0.29237148,-0.95630485
0.4146932,-0.9099613
-0.49621657,0.86819875
-0.5336146,0.8457278
-0.7372773,0.6755902
-0.8549118,-0.5187733
-0.20791192,-0.97814757
-0.69465846,0.7193397
-0.4809887,0.8767268
-0.7688418,0.63943905
-0.89100647,0.45399058
-0.57357633,-0.8191521
-0.551937,-0.8338858
-0.37864855,-0.9255405
0.06540301,-0.99785894
0.39073125,-0.9205048
-0.95371693,0.30070588
0.40274653,-0.9153116
0.71325034,-0.7009094
-0.76604444,0.64278764
-0.9238795,0.3826835
-0.9848077,0.1736483
-0.9896514,-0.14349261
-0.95105654,-0.30901697
-0.8216469,-0.5699968
-0.7632325,-0.64612395
-0.59832454,-0.80125386
-0.7798846,0.6259234
-0.89879405,0.43837112
-0.9702957,0.24192186
-0.9840407,0.17794363
-0.8638355,-0.5037739
-0.81664157,-0.57714516
-0.16074236,-0.9869964
0.6819984,-0.73135364
0.716302,-0.69779044
0.88089067,-0.47331977
-0.56999683,0.8216469
-0.9271839,0.3746065
-0.9981348,0.061048582
-1.0,-8.742278e-8
-0.999229,-0.039259918
-0.93358046,-0.35836786
0.7826083,-0.6225145
-0.9170601,0.39874905
-0.99026805,0.13917318
-0.6494479,-0.7604061
-0.27144054,-0.9624552
0.69465834,-0.71933985
-0.88294756,0.46947157
-0.97337925,0.22920042
-0.9692309,-0.2461534
0.42656887,-0.90445507
-0.9288096,0.37055734
-0.98555607,0.1693494
-0.8241262,-0.56640625
-0.691513,-0.722364
-0.4733195,-0.88089085
-0.069756545,-0.997564
0.20364179,-0.97904545
-0.39073116,0.92050487
-0.41865984,0.9081431
-0.80644464,0.59130955
-0.976296,-0.21643965
-0.9025853,-0.43051106
-0.84103906,-0.54097444
-0.74021816,-0.6723668
-0.59832454,-0.80125386
0.60876155,-0.79335326
-0.6360783,0.77162457
-0.80901706,0.5877852
-0.691513,-0.722364
0.4771588,-0.8788171
0.8746198,-0.48480946
-0.47331965,0.8808907
-0.5299193,0.84804803
-0.8767268,0.4809887
-0.99405634,-0.10886682
-0.91879123,-0.3947438
-0.43051097,-0.9025853
-0.7402181,0.67236686
-0.8290376,0.55919284
-0.9961947,0.08715564
-0.941176,-0.33791676
-0.6883545,0.7253744
-0.76323247,0.64612395
-0.9612617,0.27563736
-0.58778507,-0.8090171
0.47331953,-0.8808908
-0.7040147,0.71018535
-0.89297897,0.45009834
-0.9908659,0.13485102
-0.872496,-0.4886213
-0.7372774,-0.67559016
-0.18652415,-0.98245037
0.37864858,-0.9255405
0.740218,-0.6723669
0.80385685,-0.5948228
-0.9896514,-0.14349261
-0.79600203,-0.605294
-0.45009843,-0.89297897
-0.72537446,0.6883545
-0.7933533,0.6087614
-0.9999619,-0.008726574
-0.4999999,-0.86602545
-0.6225146,0.7826082
-0.65605897,0.7547096
-0.8433915,-0.5372996
0.7101854,-0.70401466
-0.5519369,0.83388585
-0.6122173,0.7906896
-0.99991435,0.013089673
-0.99254614,-0.12186945
-0.94551855,-0.32556826
0.872496,-0.48862126
-0.67236686,0.7402181
-0.9153115,0.40274665
-0.6156615,-0.7880107
-0.8594065,-0.511293
-0.691513,-0.722364
-0.96363044,-0.26723835
-0.28401515,-0.9588198
0.13485089,-0.9908659
0.3583678,-0.93358046
-0.8216469,0.56999683
-0.87249607,0.48862115
-0.92554045,0.3786487
-0.9351352,0.35429105
-0.96004987,0.279829
-0.85716736,-0.51503795
-0.691513,-0.722364
-0.8870108,0.46174866
-0.72236395,-0.6915131
-0.6691305,-0.74314487
-0.22069736,-0.97534233
0.008726498,-0.9999619
0.18652417,-0.98245037
0.82412606,-0.5664064
-0.8433914,0.53729963
-0.8526402,0.5224985
-0.97337925,-0.22920036
-0.7372774,-0.67559016
-0.872496,-0.4886213
-0.1305264,-0.9914448
-0.4539906,0.89100647
