x,y
-0.5299194,-0.84804803
-0.10886696,-0.99405634
0.21643981,-0.97629595
-0.034899287,-0.99939084
0.08715574,-0.9961947
0.6593458,-0.7518398
0.24192195,-0.9702957
0.23344547,-0.9723699
0.11320306,-0.9935719
-0.13917325,-0.99026805
-0.6977904,-0.71630204
-0.66262,-0.7489558
0.7660443,-0.64278775
-0.30070597,-0.9537169
-0.030538566,-0.9995336
0.48480964,-0.8746197
0.6755903,-0.73727727
-0.11753743,-0.99306846
0.69465834,-0.71933985
-0.8480481,-0.52991927
0.22069737,-0.97534233
0.49621665,-0.86819875
0.056692716,-0.9983917
-0.6427875,-0.76604456
0.5409744,-0.84103906
0.6190938,-0.78531706
-0.4886214,-0.8724959
0.08280799,-0.9965655
-0.6755903,-0.73727727
-0.28819627,-0.9575714
-0.1779437,-0.9840407
-0.31316367,-0.94969916
-0.9396926,-0.34202015
-0.38268358,-0.9238795
0.52991945,-0.848048
-0.15212323,-0.98836154
-0.48098856,-0.87672687
-0.021814987,-0.999762
-0.6190938,-0.78531706
-0.67880076,-0.7343225
-0.42656884,-0.9044551
-0.2923719,-0.95630467
-0.061048657,-0.9981348
0.66588163,-0.7460574
-0.6755903,-0.73727727
-0.03925982,-0.999229
0.58778507,-0.8090171
-0.999762,-0.02181485
-0.67880076,-0.7343225
-0.40673664,-0.9135454
-0.26303136,-0.9647873
-0.32969087,-0.94408894
-0.074108295,-0.9972502
0.03489931,-0.99939084
-0.7771459,-0.62932044
-0.54463905,0.83867055
-0.19509038,-0.98078525
-0.1305264,-0.9914448
0.13485089,-0.9908659
0.46561444,-0.8849877
-0.1434925,-0.9896514
-0.63270545,-0.77439255
0.62251467,-0.78260815
-0.2756372,-0.96126175
0.6427875,-0.7660445
-0.42656884,-0.9044551
0.6190938,-0.78531706
-0.1779437,-0.9840407
-0.6190938,-0.78531706
-0.8949343,-0.4461979
-0.72236395,-0.6915131
-0.15643452,-0.9876883
0.16934927,-0.9855561
-0.72236395,-0.6915131
-0.6658816,-0.74605745
0.18652417,-0.98245037
-0.2164398,-0.97629595
0.8681988,-0.49621648
0.892979,-0.45009828
