x,y
-0.16504762,-0.9862856
0.13052641,-0.9914448
0.6293204,-0.777146
-0.043619607,-0.99904823
0.047978107,-0.9988484
0.9670459,-0.254602
-0.7518399,0.65934575
0.72236395,-0.69151306
0.62592363,-0.77988434
-0.9563047,-0.29237178
-0.052336123,-0.9986295
-0.16934972,-0.985556
0.19080888,-0.9816272
-0.16934972,-0.985556
-0.017452296,-0.9998477
-0.6755903,-0.73727727
-0.20791192,-0.97814757
0.7343224,-0.6788008
-0.31730473,-0.9483236
-0.047978085,-0.9988484
0.47331953,-0.8808908
0.6527598,-0.75756496
-0.008726474,-0.9999619
-0.8594065,-0.511293
0.20791148,-0.9781476
0.47331953,-0.8808908
0.5699969,-0.82164687
-0.6225146,-0.78260815
0.52991945,-0.848048
0.59832454,-0.80125386
-0.5664062,-0.82412624
-0.069756545,-0.997564
-0.9965655,0.08280813
-0.017452296,-0.9998477
0.25460216,-0.9670459
-0.034899287,-0.99939084
0.23768574,-0.9713421
-0.76884186,-0.639439
-0.32969087,-0.94408894
0.17364815,-0.9848077
-0.90069824,-0.4344452
-0.6494479,-0.7604061
0.5771453,-0.8166415
-0.9981348,-0.06104852
-0.34202006,-0.9396927
0.4186599,-0.9081431
0.8480481,-0.52991927
-0.4146932,-0.9099613
-0.16504762,-0.9862856
1.1924881e-8,-1.0
0.25038,-0.96814764
-0.6156615,-0.7880107
-0.1478095,-0.9890159
0.06975657,-0.997564
-0.9958049,-0.09150166
0.5112932,-0.85940635
0.60876155,-0.79335326
-0.4733195,-0.88089085
0.62251467,-0.78260815
0.59832454,-0.80125386
0.6394391,-0.76884174
0.7933534,-0.60876137
0.88498753,-0.46561468
-0.64278764,0.76604444
-0.6658816,-0.74605745
0.06540301,-0.99785894
0.25038,-0.96814764
-0.685183,-0.72837096
-0.6190938,-0.78531706
-0.5699969,-0.82164687
0.2461531,-0.96923095
0.8638355,-0.5037739
0.8788172,-0.47715864
