x,y
-0.9958049,-0.09150166
-0.5842497,-0.811574
-0.922201,-0.38671094
0.94969904,-0.31316397
-0.6190938,-0.78531706
-0.4924235,-0.8703557
0.42656887,-0.90445507
0.3583678,-0.93358046
0.4809886,-0.87672687
-0.93819135,-0.34611705
-0.7906896,-0.61221725
-0.62592363,-0.77988434
0.5150379,-0.8571674
-0.41071904,-0.91176194
-0.31316367,-0.94969916
0.7009092,-0.7132505
-0.45399067,-0.89100647
-0.9351352,0.35429105
-0.31730473,-0.9483236
0.043619152,-0.99904823
0.32969043,-0.9440891
-0.35020727,-0.9366722
-0.7431448,-0.6691306
-0.6225146,-0.78260815
-0.93358046,-0.35836786
0.16074239,-0.9869964
0.0958457,-0.9953962
0.58778507,-0.8090171
-0.72537434,-0.6883546
-0.10452834,-0.9945219
0.76884186,-0.639439
0.8386706,-0.54463893
0.20364179,-0.97904545
-0.004363511,-0.99999046
-0.08280844,-0.99656546
0.49242353,-0.8703557
-0.944089,-0.32969072
0.061048683,-0.9981348
-0.8480481,-0.52991927
-0.5519369,0.83388585
-0.99254614,-0.12186945
-0.26303136,-0.9647873
0.438371,-0.8987941
-0.656059,-0.7547096
0.24192195,-0.9702957
0.999229,-0.039259657
-0.4146932,-0.9099613
0.8638355,-0.5037739
-0.1305264,-0.9914448
0.36243808,-0.93200785
-0.23768573,-0.9713421
0.32969043,-0.9440891
-0.25460213,-0.9670459
-0.013089748,-0.99991435
-0.9772311,-0.21217774
-0.872496,-0.4886213
-0.8433915,-0.5372996
-0.5913096,-0.80644464
-0.54829305,-0.83628625
-0.1779437,-0.9840407
0.52991945,-0.848048
0.2672383,-0.9636305
-0.97337925,0.22920042
-0.98836154,0.15212339
