x,y
-0.646124,0.76323247
-0.7518399,0.65934575
0.98699635,-0.16074267
-0.77988446,-0.6259235
-0.13052621,0.9914449
-0.7402181,0.67236686
-0.65275973,0.757565
-0.60529405,0.796002
-0.5948227,0.8038569
-0.5948227,0.8038569
-0.8549119,0.5187732
-0.71325046,-0.70090926
-0.8638355,0.503774
-0.4733195,-0.88089085
-0.999229,-0.039259918
-0.9935719,0.1132032
-0.5299193,0.84804803
-0.9044551,0.42656878
-0.9304176,0.36650115
-0.5664063,0.8241261
-0.93041754,-0.36650133
-0.5299193,0.84804803
-0.83146966,0.5555702
-0.9455186,0.3255681
-0.9965655,-0.0828083
-0.9563047,-0.29237178
-0.45399067,-0.89100647
-0.21217765,-0.9772311
-0.94408906,0.32969058
-0.99254614,0.12186928
-0.96004987,0.279829
-0.9975641,-0.0697564
-0.9135454,-0.40673673
0.39874914,-0.91706
-0.5336146,0.8457278
-0.56999683,0.8216469
-0.99306846,0.11753736
-0.97534233,-0.22069745
-0.5150379,-0.8571674
-0.36243808,-0.93200785
0.71325034,-0.7009094
