x,y
-0.87881714,0.47715873
-0.1305264,-0.9914448
-0.76604444,0.64278764
-0.99965733,-0.026176887
-0.93819135,-0.34611705
-0.56280506,-0.82658964
-0.49621662,-0.86819875
0.9692309,-0.24615337
-0.58070296,0.8141155
-0.61566144,0.7880108
-0.9288095,-0.37055752
-0.7826081,-0.6225147
-0.7372774,-0.67559016
0.74314487,-0.66913056
-0.5913096,0.80644464
-0.6819983,0.7313537
-0.8890171,0.457874
0.19080888,-0.9816272
-0.93358046,0.35836792
-0.93041754,-0.36650133
-0.8480481,-0.52991927
-0.1434925,-0.9896514
-0.030538566,-0.9995336
-0.66588175,0.74605733
-0.76604444,0.64278764
-0.18223543,-0.9832549
0.05233615,-0.9986295
0.6427875,-0.7660445
0.8746198,-0.48480946
-0.92050487,0.39073116
-0.6691305,-0.74314487
-0.15212323,-0.98836154
0.22069737,-0.97534233
-0.54463905,0.83867055
-0.9988484,-0.04797818
-0.7771459,-0.62932044
-0.7283709,-0.68518305
0.430511,-0.9025853
-0.58070296,0.8141155
-0.90069824,-0.4344452
-0.7101854,-0.7040147
-0.3746068,-0.9271838
-0.67236686,-0.74021804
0.46561444,-0.8849877
-0.19936791,0.97992474
-0.34202012,0.9396926
-0.9647873,-0.2630312
-0.93819135,-0.34611705
-0.7101854,-0.7040147
-0.40673664,-0.9135454
0.3461172,-0.9381913
0.5409744,-0.84103906
-0.7223639,0.6915131
-0.9896514,-0.14349261
-0.82903755,-0.55919296
-0.5446391,-0.83867055
-0.45787385,-0.88901716
-0.25460213,-0.9670459
0.20364179,-0.97904545
0.7101854,-0.70401466
-0.6259234,0.7798845
-0.7372773,0.6755902
-0.9953962,0.09584583
-0.03925982,-0.999229
-0.83867055,0.54463905
-0.8808907,0.47331965
-0.9975641,0.06975647
-0.9988484,0.047978245
-0.16504762,-0.9862856
-0.42261833,0.90630776
-0.941176,0.33791682
-0.999229,0.039259743
-0.999762,0.021814913
-0.9366722,-0.35020736
-0.5224987,-0.85264003
-0.43837097,-0.8987941
-0.3048642,-0.95239586
-0.25037998,-0.96814764
-0.10886696,-0.99405634
0.19080888,-0.9816272
0.5037741,-0.86383545
-0.87035567,0.49242365
-0.87881714,0.47715873
-0.92050487,0.39073116
-0.9351352,0.35429105
-0.9320079,-0.36243793
-0.6327054,0.7743926
-0.65605897,0.7547096
-0.6327054,0.7743926
-0.65605897,0.7547096
-0.89100647,0.45399058
0.8338859,-0.55193686
-0.6018151,0.7986355
-0.8949344,0.44619775
-0.9896514,0.14349267
0.026176812,-0.99965733
0.3461172,-0.9381913
0.66588163,-0.7460574
-0.8265897,0.562805
-0.92554045,0.3786487
-0.9624552,0.27144048
-0.7163019,-0.69779044
-0.4924235,-0.8703557
-0.27144054,-0.9624552
-0.97337925,0.22920042
-0.97437006,-0.22495104
-0.21217765,-0.9772311
0.6494479,-0.7604061
-0.25460213,-0.9670459
0.32969043,-0.9440891
0.6052939,-0.79600203
-0.98768836,-0.15643437
-0.4146932,-0.9099613
-0.22495118,-0.97437006
0.08715574,-0.9961947
-0.7986355,0.6018151
-0.9848077,-0.17364822
-0.8910065,-0.45399055
-0.8681988,-0.4962165
-0.8808907,0.47331965
-0.92050487,0.39073116
-0.8681988,-0.4962165
-0.4146932,-0.9099613
-0.113203034,-0.9935719
0.13917327,-0.99026805
0.38671088,-0.922201
0.42261818,-0.9063078
-0.5075384,0.8616291
-0.5771452,0.81664157
-0.84103906,-0.54097444
0.36243808,-0.93200785
-0.99939084,-0.034899388
-0.7101854,-0.7040147
0.30901712,-0.9510565
-0.8457278,0.5336146
-0.999229,-0.039259918
-0.5664062,-0.82412624
-0.53361446,-0.84572786
-0.36243808,-0.93200785
0.30901712,-0.9510565
0.40673667,-0.9135454
-0.87881714,0.47715873
-0.91176206,0.41071877
-0.9612617,0.27563736
-0.45009843,-0.89297897
-0.7880108,0.61566144
-0.9320079,0.362438
-0.98836154,-0.15212333
-0.80385685,-0.5948228
-0.74021816,-0.6723668
-0.7986355,0.6018151
-0.90258527,0.43051112
-0.9781476,0.20791161
-0.98699635,0.16074252
-0.9981348,-0.06104852
-0.8433915,-0.5372996
-0.7826081,-0.6225147
0.22920029,-0.97337925
0.69779056,-0.7163018
0.7313538,-0.68199825
-0.5771452,0.81664157
-0.9563048,0.2923716
-0.9972502,0.07410846
-0.9998477,0.017452458
-0.9999619,-0.008726574
-0.97437006,-0.22495104
-0.91706014,-0.398749
-0.82903755,-0.55919296
-0.71325046,-0.70090926
0.45009843,-0.89297897
-0.94408906,0.32969058
-0.9958049,0.09150173
-0.7518399,0.65934575
-0.922201,0.386711
-0.9781476,0.20791161
0.22069737,-0.97534233
0.43444535,-0.9006982
-0.922201,0.386711
-0.96814764,0.25037992
-0.8638355,-0.5037739
-0.7009094,-0.71325034
-0.6293203,-0.777146
-0.4107189,0.91176206
-0.8870108,0.46174866
-0.96363044,0.26723844
-0.9396926,-0.34202015
-0.8362862,-0.5482932
-0.6156615,-0.7880107
-0.3987491,-0.9170601
0.27982908,-0.9600498
0.62251467,-0.78260815
-0.65605897,0.7547096
-0.8265897,0.562805
0.0958457,-0.9953962
-0.50000006,0.8660254
-0.5409745,0.841039
-0.89687276,0.44228864
-0.9848077,-0.17364822
-0.9063078,-0.42261827
0.430511,-0.9025853
-0.74605733,0.66588175
-0.87249607,0.48862115
-0.9563048,0.2923716
-0.7009093,0.7132504
-0.811574,0.5842496
-0.96363044,0.26723844
0.5112932,-0.85940635
-0.71018535,0.7040147
-0.94264156,0.33380675
-0.8594065,-0.511293
-0.7071068,-0.7071067
-0.6122171,-0.79068965
-0.25881898,-0.9659259
-0.13917325,-0.99026805
0.7489557,-0.66262007
0.8166416,-0.5771451
-0.5913096,0.80644464
-0.9945219,-0.104528435
-0.9238795,-0.38268343
-0.43837097,-0.8987941
-0.7402181,0.67236686
-0.83388585,0.5519369
-0.98768836,-0.15643437
-0.8681988,-0.4962165
-0.4886214,-0.8724959
-0.97437006,-0.22495104
-0.8660254,-0.49999997
-0.63943905,0.7688418
-0.6819983,0.7313537
-0.92554045,0.3786487
-0.81915206,-0.5735764
-0.6087615,-0.79335326
-0.5336146,0.8457278
-0.5664063,0.8241261
-0.63943905,0.7688418
-0.999762,-0.02181485
-0.94832367,-0.31730458
-0.9238795,-0.38268343
-0.73135376,0.6819983
-0.9304176,0.36650115
-0.9848077,-0.17364822
-0.6360781,-0.7716246
-0.99496853,0.10018812
-0.8549118,-0.5187733
0.5224988,-0.85264003
-0.8216469,0.56999683
-0.6394391,-0.76884174
-0.38268358,-0.9238795
-0.9396926,-0.34202015
-0.20364177,-0.97904545
0.42261818,-0.9063078
0.62251467,-0.78260815
-0.83867055,0.54463905
-0.8660254,0.50000006
-0.9320079,0.362438
-0.9381913,0.3461171
-0.99405634,0.108866885
-0.9170601,0.39874905
-0.99405634,0.108866885
-0.26723826,-0.9636305
-0.1779437,-0.9840407
0.22495121,-0.97437
0.81157404,-0.58424956
-0.8362862,0.5482932
-0.84804803,0.5299193
-0.8594064,0.51129305
-0.99200493,-0.12619905
-0.8660254,-0.49999997
-0.7193398,-0.6946584
-0.9304176,0.36650115
-0.84103906,-0.54097444
-0.09584568,-0.9953962
0.898794,-0.43837124
-0.76323247,0.64612395
-0.9965655,-0.0828083
-0.99254614,0.12186928
-0.96363044,-0.26723835
-0.6593458,-0.7518398
-0.4656144,-0.8849877
-0.34202006,-0.9396927
0.7460572,-0.6658818
-0.9807853,0.19509031
-0.9624553,-0.27144042
-0.60181516,-0.7986354
0.27982908,-0.9600498
0.33380684,-0.9426415
0.7009092,-0.7132505
-0.562805,0.8265897
-0.9981348,-0.06104852
-0.67880076,-0.7343225
0.5446391,-0.8386705
-0.8616292,0.5075384
-0.99939084,-0.034899388
-0.9945219,-0.104528435
-0.8681988,-0.4962165
-0.83146954,-0.5555703
-0.50377405,-0.86383545
-0.34611717,-0.9381913
0.13052641,-0.9914448
0.20791148,-0.9781476
-0.46174866,0.8870108
